movie_id,keyword_id
1258509,2679
1258509,171366
1258509,184439
1258509,235636
1258509,243959
1258509,288816
878608,287803
1168402,240
1168402,6054
1168402,4227
1168402,11436
1168402,281237
1168402,314525
1168402,335806
1168402,347697
1284120,8201
1284120,179411
1284120,200234
1284120,214664
1284120,232076
1284120,265586
1284120,281237
1284120,283085
1284120,295907
1284120,315058
1284120,323091
1284120,325776
1284120,325778
1284120,325779
1284120,325813
1284120,325816
1288219,6270
1288219,1944
1288219,18068
1288219,193400
1288219,204058
682012,233
682012,715
682012,17997
682012,18330
682012,158023
682012,173323
682012,180498
682012,181205
682012,214887
682012,326222
682012,349947
682012,358320
1568796,194292
1568796,270346
1172507,3371
1172507,5683
1172507,18035
1172507,155294
1172507,257229
1159206,90
1159206,4729
1159206,9706
1159206,237928
1219620,5907
1219620,972
1219620,1228
1219620,3371
1219620,4108
1219620,5598
1219620,33549
1219620,169663
1219620,175884
1219620,207883
1219620,208289
1219620,240119
1219620,241737
1219620,262142
1219620,273967
1219620,298655
1219620,298877
1219620,325435
1219620,338016
1371185,9672
1371185,165317
1371185,220267
1371185,327890
1371185,340972
1371185,348023
1484861,10683
1484861,242391
1230916,211584
1230916,271163
1230916,291740
1230916,327613
1230916,327614
1230916,327662
1230916,344436
1230916,344438
1468488,2702
896096,158718
1567856,5876
1567856,9758
1567856,170682
1567856,263548
1567856,273392
1567856,280617
1567856,315302
1567856,322496
1567856,324109
1567856,325844
1567856,349551
1567856,350655
1567856,360853
1567856,360854
1476724,208253
1476724,282667
1476724,350634
991351,10292
991351,5830
991351,9744
991351,12377
991351,186565
991351,188957
991351,230095
991351,299116
991351,299117
991351,351091
683127,616
683127,818
683127,2343
683127,6783
683127,210024
683127,325800
22650,585
22650,10051
22650,9727
22650,10856
1418361,9748
1418361,215565
1551481,727
1551481,246377
1551481,346955
1565823,2340
1565823,207769
1565823,251667
1565823,263548
1565823,266753
1565823,309974
1565823,314753
1565823,325801
1565823,352581
1467523,1526
1467523,6095
1467523,5248
1467523,10683
1467523,11320
1467523,18011
1467523,33372
1467523,33574
1467523,155755
1467523,157955
1467523,160246
1467523,163791
1467523,167234
1467523,167475
1467523,179321
1467523,180086
1467523,187056
1467523,190178
1467523,222029
1467523,226543
1467523,237426
1467523,237771
1467523,265582
1467523,266927
1467523,274107
1467523,282600
1467523,292930
1467523,298721
1467523,322298
1467523,323721
1467523,338596
1467523,348401
1467523,352945
1410189,236
1410189,272
1410189,2981
1410189,8201
1410189,11322
1410189,33720
1410189,165177
1410189,233517
1410189,265396
1410189,302755
1410189,357097
1458322,2116
1458322,9887
1458322,162749
1458322,305161
1458322,322268
1458322,350287
1458322,359799
1458322,359800
1458322,359801
1458322,359802
1216662,288474
1374361,263548
1374361,315058
1374361,322268
1374361,350688
1287322,2013
1287322,9672
1287322,8232
1287322,11925
1287322,198585
1287322,209476
1287322,210608
1287322,294708
1287322,328926
1287322,340972
959646,9663
959646,12377
959646,210024
959646,222243
959646,251523
9385,1394
9385,588
9385,1405
9385,2343
9385,5331
9385,6513
9385,3035
9385,2035
9385,8201
9385,9755
9385,5049
9385,9717
9385,12026
9385,12995
9385,222185
9385,232530
9385,235189
9385,236090
9385,297442
9385,300184
9385,337970
9385,341557
9385,357703
9385,359949
9385,359953
9385,359954
9385,359962
9385,361257
1271981,34079
1271981,190433
1271981,273916
505026,1160
505026,818
505026,703
505026,2676
505026,2906
505026,9714
505026,197582
505026,207046
505026,214548
505026,325819
1299655,40838
1299655,207883
1339592,5420
1339592,18514
1364168,162745
1364168,210608
1566924,65
1566924,11616
1566924,177185
1566924,207317
1566924,360737
1566928,163053
1566928,325355
1566928,347904
1566928,360713
1149137,13008
1149137,15101
1149137,256087
1149137,257090
1124566,33490
1124566,176096
1124566,192687
1124566,240303
1124566,241738
1124566,248870
1559766,10714
1276126,240422
1276126,292593
1276126,325820
1262815,2504
1262815,15060
1262815,210184
1262815,296608
1262815,356539
1324267,208873
1324267,250606
1324267,284145
1324267,296608
988397,3356
988397,193012
988397,281237
988397,287803
988397,321210
393457,5179
393457,1543
393457,1480
393457,5905
393457,10181
393457,10235
393457,12425
393457,193594
393457,208611
393457,222807
393457,240119
393457,319319
393457,321464
393457,325806
1569012,358150
1548544,241739
1562881,5565
830721,4729
830721,5864
830721,155623
991494,10244
991494,12988
991494,298636
1373445,616
1373445,985
1373445,65
1373445,3335
1373445,10292
1373445,9706
1373445,9663
1373445,11616
1373445,13006
1373445,163053
1373445,180193
1373445,192706
1373445,250593
1373445,256183
1373445,315058
1373445,323756
999689,1886
999689,4232
999689,12354
999689,12999
999689,158718
999689,238059
1205515,570
1205515,447
1205515,977
1205515,1992
1205515,1700
1205515,5248
1205515,10639
1205515,11322
1205515,18011
1205515,162928
1205515,190327
1205515,197056
1205515,230350
1205515,266753
1205515,269678
1205515,281237
1205515,311882
1205515,322604
1032472,818
1032472,2803
1032472,325769
1032472,325770
1535260,5248
1535260,250606
1501477,9712
1356071,2356
1356071,10322
1356071,6349
1356071,13014
1356071,155291
1356071,190423
1356071,192945
1356071,200285
1356071,244888
1356071,271429
1356071,281237
1356071,298374
1356071,305941
1356071,358258
1097001,10093
1097001,208426
1502507,11322
1502507,263548
1502507,354024
1233199,818
1233199,2626
1497397,15285
1497397,183427
1497397,263548
1488195,586
1488195,2804
1488195,5930
1488195,9253
1488195,207317
1488195,255088
1488195,263548
1488195,265589
1488195,337970
1488195,356360
1417541,18009
1417541,263548
1417541,278303
1417541,281623
1417541,283926
1417541,285070
1417541,296351
1417541,315058
1417541,346621
1417541,346987
1430855,5349
1430855,9828
1430855,210504
1430855,269484
1196364,359782
1078605,616
1078605,1415
1078605,904
1078605,4720
1078605,8015
1078605,10508
1078605,10414
1078605,40931
1078605,156948
1078605,171366
1078605,256183
1078605,281776
1078605,282355
1078605,295907
1078605,316332
1078605,325839
1316173,15060
1316173,33490
1316173,192772
1316173,207876
1316173,285398
1316173,328926
1299799,90
1299799,1233
1299799,4048
1299799,2679
1299799,5565
1299799,207928
1299799,270404
1299799,296659
1299799,328926
1284460,10683
1284460,14673
1284460,188973
1284460,240315
1284460,283085
1159539,242
1159539,818
1159539,1003
1159539,1228
1159539,4434
1159539,5565
1159539,158718
1202549,4565
1202549,4458
1202549,6158
1202549,255412
1202549,324739
1202549,324741
77174,2723
77174,10623
77174,10121
77174,10541
77174,12377
77174,162846
77174,175387
77174,179430
77174,181820
77174,181822
77174,181834
77174,215191
77174,300952
1450368,582
1450368,9672
1450368,10051
1450368,163082
1450368,290527
1450368,326627
1450368,332966
1450368,355470
1450368,355471
1481097,2624
1481097,167234
1481097,351946
1423756,3588
1423756,339
1423756,4379
1423756,11085
1423756,12616
1423756,33696
1423756,155746
1423756,162365
1423756,220393
1423756,252909
1423756,315058
1423756,316362
1423756,320807
1564049,12190
1564049,280566
1564049,293198
1564049,357272
1568146,360823
1568146,360837
1339797,11612
1339797,13005
1339797,207317
1339797,260365
1339797,263548
1339797,336829
1254808,9672
1254808,33490
1254808,279111
1398170,10292
1398170,12339
1398170,17987
1398170,50009
1398170,309060
1398170,309061
1557916,240119
1559965,1956
1559965,288269
1557919,188953
1512864,162701
1512864,208788
1478049,4048
1478049,2658
1478049,10229
1478049,163133
1478049,237466
1478049,246377
1478049,283297
1478049,351657
1478049,351658
1478049,351659
1263012,1562
1263012,1228
1263012,9672
1568168,537
1568168,11804
1568168,291381
1568168,360836
1568168,360837
722348,6921
1547699,9917
1547699,11772
1547699,192790
1547699,271585
1547699,354756
797109,9714
1557942,2863
1557942,33630
1557942,233382
1557942,241823
1557942,246985
645560,192772
645560,197870
1401281,242
1401281,186
1401281,2698
1401281,4344
1401281,15302
1401281,160279
1401281,187056
1401281,208548
1401281,222797
1401281,269438
1401281,328926
1401281,328974
1543621,894
1543621,802
1543621,1533
1543621,3156
1543621,6782
1543621,7368
1543621,10683
1543621,9957
1543621,14546
1543621,14964
1543621,33720
1543621,155294
1543621,161944
1543621,200235
1543621,268613
1543621,312898
1543621,358574
1543621,358575
1543621,358576
1543621,358577
1313226,697
1313226,2438
1313226,158713
1313226,169333
1313226,269674
1313226,293749
1313226,316421
1313226,325435
1313226,325820
1561049,350819
1315303,2551
1315303,5160
1315303,15149
1315303,50009
1315303,157972
1315303,158303
1315303,177280
1315303,223059
1315303,225840
1315303,244984
1315303,286407
1315303,315058
975335,9672
975335,192772
975335,208244
975335,328926
1154538,4227
1154538,4379
1154538,11800
1154538,239125
1154538,252104
1154538,269709
1154538,281237
1154538,358332
521,596
521,212
521,931
521,1936
521,703
521,2848
521,6038
521,3344
521,9673
521,9826
521,14604
521,162271
521,208508
521,229959
521,235907
1541644,18001
1541644,263548
1508880,4563
1508880,173374
1508880,174109
1508880,188973
1508880,192210
1508880,257588
1508880,263237
1508880,282080
1508880,294531
1508880,325028
1508880,326503
1508880,357820
533,5215
533,414
533,271
533,5331
533,2105
533,3289
533,9755
533,6401
533,9180
533,10121
533,11836
533,15162
533,15199
533,185424
533,185425
533,197065
533,230385
533,303310
533,324713
1137179,14964
1318435,824
1318435,41523
1318435,186565
1318435,224309
1318435,339530
812583,703
812583,5340
812583,9663
812583,9826
812583,12570
812583,207046
1288748,2692
1288748,9872
1288748,173099
1288748,212637
1288748,222941
1288748,239239
1288748,240305
15916,33505
15916,161919
15916,186188
15916,210024
15916,212737
15916,259583
15916,308818
15916,325763
15916,325852
1391153,10224
1391153,4252
1391153,187
1391153,9663
1391153,10626
1391153,162846
1391153,214978
1391153,268140
1391153,270308
1391153,321763
961077,10683
961077,158718
1568312,33722
1568312,281205
1517114,1739
1198654,818
1198654,316362
1538622,6096
1538622,8201
1538622,6674
1538622,9826
1538622,10714
1538622,10907
1538622,183946
1538622,210710
1538622,285728
1538622,309974
1538622,344603
1383998,12339
1383998,270308
1383998,274938
1383998,288394
1383998,311077
1383998,315058
1557057,2964
1557057,3822
1557057,33577
1557057,285126
1312325,1332
1312325,1419
1312325,4379
1312325,5455
1312325,9872
1312325,14547
478798,2151
1543765,41476
1543765,250606
1543765,285787
1543765,320807
667222,9181
667222,154866
667222,221078
667222,248957
667222,268830
667222,318723
667222,345747
667222,347137
667222,350453
1556054,280617
1259102,6155
1259102,9799
1259102,157303
1259102,188290
1259102,321294
607845,818
607845,188957
1397364,236427
1294972,378
1294972,1794
1294972,156493
1294972,210024
1548929,4379
1548929,158718
1317512,6270
1293964,234662
1293964,278130
1293964,285374
323214,6104
323214,34265
